Model,Scenario,Region Group,ISO,Region,Subvertical,Metric,Unit,Value 1,Duration 1 (Years),Value 2,Duration 2 (Years),Value 3,Duration 3 (Years)
PD22,Pathway,CAS,KAZ,Kazakhstan,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.6013,6,3.36728,93,NA,NA
PD22,Pathway,SSA-L,KEN,Kenya,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.8601,6,4.81656,93,NA,NA
PD22,Pathway,MEA-H,KWT,Kuwait,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,3.3893,6,18.98008,93,NA,NA
PD22,Pathway,CAS,KGZ,Kyrgyzstan,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.443,6,8.0808,93,NA,NA
PD22,Pathway,OAS-CPA,LAO,Laos,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,4.594,6,25.7264,93,NA,NA
PD22,Pathway,EU12-M,LVA,Latvia,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.2196,6,6.82976,93,NA,NA
PD22,Pathway,MEA-M,LBN,Lebanon,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.8844,6,4.95264,93,NA,NA
PD22,Pathway,SSA-L,LSO,Lesotho,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.3905,6,2.1868,93,NA,NA
PD22,Pathway,SSA-L,LBR,Liberia,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.7692,6,4.30752,93,NA,NA
PD22,Pathway,NAF,LBY,Libya,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.2497,6,1.39832,93,NA,NA
PD22,Pathway,EU12-M,LTU,Lithuania,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.2486,6,6.99216,93,NA,NA
PD22,Pathway,EU15,LUX,Luxembourg,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.2486,6,6.99216,93,NA,NA
PD22,Pathway,EEU,MKD,Macedonia (The Former Yugoslav Republic of Macedonia),Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.4106,6,7.89936,93,NA,NA
PD22,Pathway,SSA-L,MDG,Madagascar,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,2.2047,6,12.34632,93,NA,NA
PD22,Pathway,SSA-L,MWI,Malawi,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.817,6,4.5752,93,NA,NA
PD22,Pathway,OAS-M,MYS,Malaysia,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,2.9318,6,16.41808,93,NA,NA
PD22,Pathway,SSA-L,MLI,Mali,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.7474,6,4.18544,93,NA,NA
PD22,Pathway,LAM-M,MTQ,Martinique,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0,6,0,93,NA,NA
PD22,Pathway,SSA-L,MRT,Mauritania,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.1131,6,6.23336,93,NA,NA
PD22,Pathway,SSA-M,MUS,Mauritius,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,8.7044,6,48.74464,93,NA,NA
PD22,Pathway,MEX,MEX,Mexico,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,3.1374,6,17.56944,93,NA,NA
PD22,Pathway,EEU-FSA,MDA,Moldova,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.733,6,9.7048,93,NA,NA
PD22,Pathway,OAS-CPA,MNG,Mongolia,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.4577,6,2.56312,93,NA,NA
PD22,Pathway,EEU,MNE,Montenegro,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.1544,6,6.46464,93,NA,NA
PD22,Pathway,NAF,MAR,Morocco,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.6174,6,3.45744,93,NA,NA
PD22,Pathway,SSA-L,MOZ,Mozambique,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.4518,6,2.53008,93,NA,NA
PD22,Pathway,OAS-L,MMR,Myanmar,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,3.1094,6,17.41264,93,NA,NA
PD22,Pathway,SSA-M,NAM,Namibia,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.1566,6,0.87696,93,NA,NA
PD22,Pathway,OAS-L,NPL,Nepal,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.7895,6,10.0212,93,NA,NA
PD22,Pathway,EU15,NLD,Netherlands,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.4115,6,7.9044,93,NA,NA
PD22,Pathway,OAS-M,NCL,New Caledonia,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,2.1937,6,12.28472,93,NA,NA
PD22,Pathway,ANUZ,NZL,New Zealand,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,2.1528,6,12.05568,93,NA,NA
PD22,Pathway,LAM-L,NIC,Nicaragua,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,3.0901,6,17.30456,93,NA,NA
PD22,Pathway,SSA-L,NER,Niger,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.141,6,0.7896,93,NA,NA
PD22,Pathway,SSA-L,NGA,Nigeria,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.6112,6,3.42272,93,NA,NA
PD22,Pathway,EFTA,NOR,Norway,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.0076,6,5.64256,93,NA,NA
PD22,Pathway,MEA-H,OMN,Oman,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,6.1767,6,34.58952,93,NA,NA
PD22,Pathway,PAK,PAK,Pakistan,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,2.2322,6,12.50032,93,NA,NA
PD22,Pathway,LAM-M,PAN,Panama,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,5.201,6,29.1256,93,NA,NA
PD22,Pathway,OAS-L,PNG,Papua New Guinea,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.5651,6,8.76456,93,NA,NA
PD22,Pathway,LAM-M,PRY,Paraguay,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,2.9149,6,16.32344,93,NA,NA
PD22,Pathway,LAM-M,PER,Peru,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,4.4344,6,24.83264,93,NA,NA
PD22,Pathway,OAS-L,PHL,Philippines,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,3.0378,6,17.01168,93,NA,NA
PD22,Pathway,EU12-H,POL,Poland,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.4376,6,8.05056,93,NA,NA
PD22,Pathway,EU15,PRT,Portugal,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,3.055,6,17.108,93,NA,NA
PD22,Pathway,USA,PRI,Puerto Rico,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.5088,6,8.44928,93,NA,NA
PD22,Pathway,MEA-H,QAT,Qatar,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,3.0994,6,17.35664,93,NA,NA
PD22,Pathway,SSA-L,COG,Republic of Congo (ROC),Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.8625,6,4.83,93,NA,NA
PD22,Pathway,ANUZ,KOR,Republic of Korea (South Korea),Biochar,Avg mitigation potential flux,tCO2e/ha/yr,4.8574,6,27.20144,93,NA,NA
PD22,Pathway,SSA-M,REU,Reunion,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0,6,0,93,NA,NA
PD22,Pathway,EU12-M,ROU,Romania,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,2.1884,6,12.25504,93,NA,NA
PD22,Pathway,RUS,RUS,Russia,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.0759,6,6.02504,93,NA,NA
PD22,Pathway,SSA-L,RWA,Rwanda,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.6092,6,3.41152,93,NA,NA
PD22,Pathway,OAS-L,WSM,Samoa,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.425,6,7.98,93,NA,NA
PD22,Pathway,SSA-L,STP,Sao Tome and Principe,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.3286,6,1.84016,93,NA,NA
PD22,Pathway,MEA-H,SAU,Saudi Arabia,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.296,6,7.2576,93,NA,NA
PD22,Pathway,SSA-L,SEN,Senegal,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.5066,6,2.83696,93,NA,NA
PD22,Pathway,EEU,SRB,Serbia,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,2.6778,6,14.99568,93,NA,NA
PD22,Pathway,SSA-L,SLE,Sierra Leone,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.0631,6,5.95336,93,NA,NA
PD22,Pathway,EU12-H,SVK,Slovakia,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.9093,6,10.69208,93,NA,NA
PD22,Pathway,EU12-H,SVN,Slovenia,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,2.5973,6,14.54488,93,NA,NA
PD22,Pathway,OAS-L,SLB,Solomon Islands,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.7849,6,4.39544,93,NA,NA
PD22,Pathway,SSA-L,SOM,Somalia,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.2823,6,1.58088,93,NA,NA
PD22,Pathway,SAF,ZAF,South Africa,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.9977,6,11.18712,93,NA,NA
PD22,Pathway,SSA-L,SSD,South Sudan,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.593,6,3.3208,93,NA,NA
PD22,Pathway,EU15,ESP,Spain,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.2678,6,7.09968,93,NA,NA
PD22,Pathway,OAS-M,LKA,Sri Lanka,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,2.536,6,14.2016,93,NA,NA
PD22,Pathway,SSA-L,SDN,Sudan,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.2254,6,1.26224,93,NA,NA
PD22,Pathway,LAM-M,SUR,Suriname,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,4.5622,6,25.54832,93,NA,NA
PD22,Pathway,SSA-L,SWZ,Swaziland,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,5.161,6,28.9016,93,NA,NA
PD22,Pathway,EU15,SWE,Sweden,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.1975,6,6.706,93,NA,NA
PD22,Pathway,EFTA,CHE,Switzerland,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.6469,6,9.22264,93,NA,NA
PD22,Pathway,MEA-M,SYR,Syria,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.4856,6,2.71936,93,NA,NA
PD22,Pathway,CAS,TJK,Tajikistan,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.4203,6,7.95368,93,NA,NA
PD22,Pathway,SSA-L,TZA,Tanzania,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.7517,6,4.20952,93,NA,NA
PD22,Pathway,OAS-M,THA,Thailand,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,4.612,6,25.8272,93,NA,NA
PD22,Pathway,OAS-L,TLS,Timor-Leste,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,2.051,6,11.4856,93,NA,NA
PD22,Pathway,SSA-L,TGO,Togo,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.5966,6,3.34096,93,NA,NA
PD22,Pathway,LAM-M,TTO,Trinidad and Tobago,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.9932,6,5.56192,93,NA,NA
PD22,Pathway,NAF,TUN,Tunisia,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.4441,6,2.48696,93,NA,NA
PD22,Pathway,TUR,TUR,Turkey,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.1857,6,6.63992,93,NA,NA
PD22,Pathway,CAS,TKM,Turkmenistan,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.8534,6,4.77904,93,NA,NA
PD22,Pathway,SSA-L,UGA,Uganda,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.8137,6,4.55672,93,NA,NA
PD22,Pathway,EEU-FSU,UKR,Ukraine,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.8539,6,10.38184,93,NA,NA
PD22,Pathway,MEA-H,ARE,United Arab Emirates,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,7.1423,6,39.99688,93,NA,NA
PD22,Pathway,EU15,GBR,United Kingdom,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.2712,6,7.11872,93,NA,NA
PD22,Pathway,USA,USA,United States (except Alaska),Biochar,Avg mitigation potential flux,tCO2e/ha/yr,3.4321,6,19.21976,93,NA,NA
PD22,Pathway,LAM-M,URY,Uruguay,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,2.3988,6,13.43328,93,NA,NA
PD22,Pathway,CAS,UZB,Uzbekistan,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.7034,6,9.53904,93,NA,NA
PD22,Pathway,OAS-L,VUT,Vanuatu,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.6812,6,3.81472,93,NA,NA
PD22,Pathway,LAM-M,VEN,Venezuela,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,3.1555,6,17.6708,93,NA,NA
PD22,Pathway,OAS-CPA,VNM,Vietnam,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,5.5932,6,31.32192,93,NA,NA
PD22,Pathway,NAF,ESH,Western Sahara,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0,6,0,93,NA,NA
PD22,Pathway,MEA-M,YEM,Yemen,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.453,6,2.5368,93,NA,NA
PD22,Pathway,SSA-L,ZMB,Zambia,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,1.3012,6,7.28672,93,NA,NA
PD22,Pathway,SSA-L,ZWE,Zimbabwe,Biochar,Avg mitigation potential flux,tCO2e/ha/yr,0.5878,6,3.29168,93,NA,NA
PD22,Pathway,PAK,AFG,Afghanistan,Coastal Restoration,Avg mitigation potential flux,tCO2e/ha/yr,0,100,NA,NA,NA,NA
PD22,Pathway,EEU,ALB,Albania,Coastal Restoration,Avg mitigation potential flux,tCO2e/ha/yr,0,100,NA,NA,NA,NA
PD22,Pathway,NAF,DZA,Algeria,Coastal Restoration,Avg mitigation potential flux,tCO2e/ha/yr,0,100,NA,NA,NA,NA
PD22,Pathway,SSA-M,AGO,Angola,Coastal Restoration,Avg mitigation potential flux,tCO2e/ha/yr,14.6667,15,25.6667,25,0,60
PD22,Pathway,LAM-M,ARG,Argentina,Coastal Restoration,Avg mitigation potential flux,tCO2e/ha/yr,0,100,NA,NA,NA,NA
PD22,Pathway,CAS,ARM,Armenia,Coastal Restoration,Avg mitigation potential flux,tCO2e/ha/yr,0,100,NA,NA,NA,NA
PD22,Pathway,ANUZ,AUS,Australia,Coastal Restoration,Avg mitigation potential flux,tCO2e/ha/yr,14.6667,15,25.6667,25,0,60
PD22,Pathway,EU15,AUT,Austria,Coastal Restoration,Avg mitigation potential flux,tCO2e/ha/yr,0,100,NA,NA,NA,NA
