IEA Region,Technology,Scenario,Sector,Metric,Value
AdvancedECO ,Forests & Wetlands | Avoided Forest Conversion | Historical analogy adoption,Pathway,,"Parameter b, min",0
AdvancedECO ,Forests & Wetlands | Avoided Forest Conversion | Historical analogy adoption,Baseline,,"Parameter b, min",0
AdvancedECO ,Forests & Wetlands | Avoided Forest Conversion | Historical analogy adoption,Pathway,,"Parameter b, max",100
AdvancedECO ,Forests & Wetlands | Avoided Forest Conversion | Historical analogy adoption,Baseline,,"Parameter b, max",100
AdvancedECO ,Forests & Wetlands | Avoided Forest Conversion | Historical analogy adoption,Pathway,,"Parameter a, min",0
AdvancedECO ,Forests & Wetlands | Avoided Forest Conversion | Historical analogy adoption,Baseline,,"Parameter a, min",0
AdvancedECO ,Forests & Wetlands | Avoided Forest Conversion | Historical analogy adoption,Pathway,,"Parameter a, max",0.0263
AdvancedECO ,Forests & Wetlands | Avoided Forest Conversion | Historical analogy adoption,Baseline,,"Parameter a, max",0
AdvancedECO ,Forests & Wetlands | Avoided Forest Conversion | Historical analogy adoption,Pathway,,Floor,0
AdvancedECO ,Forests & Wetlands | Avoided Forest Conversion | Historical analogy adoption,Baseline,,Floor,0
AdvancedECO ,Forests & Wetlands | Avoided Peat Impacts | Historical analogy adoption,Pathway,,"Parameter b, min",0
AdvancedECO ,Forests & Wetlands | Avoided Peat Impacts | Historical analogy adoption,Baseline,,"Parameter b, min",0
AdvancedECO ,Forests & Wetlands | Avoided Peat Impacts | Historical analogy adoption,Pathway,,"Parameter b, max",100
AdvancedECO ,Forests & Wetlands | Avoided Peat Impacts | Historical analogy adoption,Baseline,,"Parameter b, max",100
AdvancedECO ,Forests & Wetlands | Avoided Peat Impacts | Historical analogy adoption,Pathway,,"Parameter a, min",0
AdvancedECO ,Forests & Wetlands | Avoided Peat Impacts | Historical analogy adoption,Baseline,,"Parameter a, min",0
AdvancedECO ,Forests & Wetlands | Avoided Peat Impacts | Historical analogy adoption,Pathway,,"Parameter a, max",0.0263
AdvancedECO ,Forests & Wetlands | Avoided Peat Impacts | Historical analogy adoption,Baseline,,"Parameter a, max",0
AdvancedECO ,Forests & Wetlands | Avoided Peat Impacts | Historical analogy adoption,Pathway,,Floor,0
AdvancedECO ,Forests & Wetlands | Avoided Peat Impacts | Historical analogy adoption,Baseline,,Floor,0
AdvancedECO ,Forests & Wetlands | Coastal Restoration | Historical analogy adoption,Pathway,,"Parameter b, min",40.46
AdvancedECO ,Forests & Wetlands | Coastal Restoration | Historical analogy adoption,Baseline,,"Parameter b, min",0
AdvancedECO ,Forests & Wetlands | Coastal Restoration | Historical analogy adoption,Pathway,,"Parameter b, max",40.46
AdvancedECO ,Forests & Wetlands | Coastal Restoration | Historical analogy adoption,Baseline,,"Parameter b, max",100
AdvancedECO ,Forests & Wetlands | Coastal Restoration | Historical analogy adoption,Pathway,,"Parameter a, min",0.1157
AdvancedECO ,Forests & Wetlands | Coastal Restoration | Historical analogy adoption,Baseline,,"Parameter a, min",0
AdvancedECO ,Forests & Wetlands | Coastal Restoration | Historical analogy adoption,Pathway,,"Parameter a, max",0.1157
AdvancedECO ,Forests & Wetlands | Coastal Restoration | Historical analogy adoption,Baseline,,"Parameter a, max",0
AdvancedECO ,Forests & Wetlands | Coastal Restoration | Historical analogy adoption,Pathway,,Floor,0
AdvancedECO ,Forests & Wetlands | Coastal Restoration | Historical analogy adoption,Baseline,,Floor,0
AdvancedECO ,Forests & Wetlands | Improved Forest Mgmt | Historical analogy adoption,Pathway,,"Parameter b, min",37.1
AdvancedECO ,Forests & Wetlands | Improved Forest Mgmt | Historical analogy adoption,Baseline,,"Parameter b, min",0
AdvancedECO ,Forests & Wetlands | Improved Forest Mgmt | Historical analogy adoption,Pathway,,"Parameter b, max",37.1
AdvancedECO ,Forests & Wetlands | Improved Forest Mgmt | Historical analogy adoption,Baseline,,"Parameter b, max",100
AdvancedECO ,Forests & Wetlands | Improved Forest Mgmt | Historical analogy adoption,Pathway,,"Parameter a, min",0.11776
AdvancedECO ,Forests & Wetlands | Improved Forest Mgmt | Historical analogy adoption,Baseline,,"Parameter a, min",0
AdvancedECO ,Forests & Wetlands | Improved Forest Mgmt | Historical analogy adoption,Pathway,,"Parameter a, max",0.11776
AdvancedECO ,Forests & Wetlands | Improved Forest Mgmt | Historical analogy adoption,Baseline,,"Parameter a, max",0
AdvancedECO ,Forests & Wetlands | Improved Forest Mgmt | Historical analogy adoption,Pathway,,Floor,0
AdvancedECO ,Forests & Wetlands | Improved Forest Mgmt | Historical analogy adoption,Baseline,,Floor,0
AdvancedECO ,Forests & Wetlands | Peat Restoration | Historical analogy adoption,Pathway,,"Parameter b, min",39.84
AdvancedECO ,Forests & Wetlands | Peat Restoration | Historical analogy adoption,Baseline,,"Parameter b, min",0
AdvancedECO ,Forests & Wetlands | Peat Restoration | Historical analogy adoption,Pathway,,"Parameter b, max",39.84
AdvancedECO ,Forests & Wetlands | Peat Restoration | Historical analogy adoption,Baseline,,"Parameter b, max",100
AdvancedECO ,Forests & Wetlands | Peat Restoration | Historical analogy adoption,Pathway,,"Parameter a, min",0.11599
AdvancedECO ,Forests & Wetlands | Peat Restoration | Historical analogy adoption,Baseline,,"Parameter a, min",0
AdvancedECO ,Forests & Wetlands | Peat Restoration | Historical analogy adoption,Pathway,,"Parameter a, max",0.11599
AdvancedECO ,Forests & Wetlands | Peat Restoration | Historical analogy adoption,Baseline,,"Parameter a, max",0
AdvancedECO ,Forests & Wetlands | Peat Restoration | Historical analogy adoption,Pathway,,Floor,0
AdvancedECO ,Forests & Wetlands | Peat Restoration | Historical analogy adoption,Baseline,,Floor,0
AdvancedECO ,Forests & Wetlands | Reforestation | Natural Regeneration | Historical analogy adoption,Pathway,,"Parameter b, min",34.75
AdvancedECO ,Forests & Wetlands | Reforestation | Natural Regeneration | Historical analogy adoption,Baseline,,"Parameter b, min",0
AdvancedECO ,Forests & Wetlands | Reforestation | Natural Regeneration | Historical analogy adoption,Pathway,,"Parameter b, max",34.75
AdvancedECO ,Forests & Wetlands | Reforestation | Natural Regeneration | Historical analogy adoption,Baseline,,"Parameter b, max",100
AdvancedECO ,Forests & Wetlands | Reforestation | Natural Regeneration | Historical analogy adoption,Pathway,,"Parameter a, min",0.0598
AdvancedECO ,Forests & Wetlands | Reforestation | Natural Regeneration | Historical analogy adoption,Baseline,,"Parameter a, min",0
AdvancedECO ,Forests & Wetlands | Reforestation | Natural Regeneration | Historical analogy adoption,Pathway,,"Parameter a, max",0.0598
AdvancedECO ,Forests & Wetlands | Reforestation | Natural Regeneration | Historical analogy adoption,Baseline,,"Parameter a, max",0
AdvancedECO ,Forests & Wetlands | Reforestation | Natural Regeneration | Historical analogy adoption,Pathway,,Floor,0
AdvancedECO ,Forests & Wetlands | Reforestation | Natural Regeneration | Historical analogy adoption,Baseline,,Floor,0
AdvancedECO ,Fossil fuels,Baseline,,Useful Life in Start Year,25
AdvancedECO ,Fossil fuels,Pathway,,Useful Life in Start Year,25
AdvancedECO ,Fossil fuels,Baseline,,Useful Life in End Year,45
AdvancedECO ,Fossil fuels,Pathway,,Useful Life in End Year,45
AdvancedECO ,Fossil fuels,Baseline,,"Start Year, Retirement Trend",1990
AdvancedECO ,Fossil fuels,Pathway,,"Start Year, Retirement Trend",1990
AdvancedECO ,Fossil fuels,Baseline,,Saturation Point,100
AdvancedECO ,Fossil fuels,Pathway,,Saturation Point,0
AdvancedECO ,Fossil fuels,Pathway,,"Parameter b, min",0
AdvancedECO ,Fossil fuels,Baseline,,"Parameter b, min",0
AdvancedECO ,Fossil fuels,Pathway,,"Parameter b, max",100
AdvancedECO ,Fossil fuels,Baseline,,"Parameter b, max",100
AdvancedECO ,Fossil fuels,Pathway,,"Parameter a, min",0
AdvancedECO ,Fossil fuels,Baseline,,"Parameter a, min",0
AdvancedECO ,Fossil fuels,Pathway,,"Parameter a, max",5
AdvancedECO ,Fossil fuels,Baseline,,"Parameter a, max",5
AdvancedECO ,Fossil fuels,Baseline,,Max annual growth,100
AdvancedECO ,Fossil fuels,Pathway,,Max annual growth,100
AdvancedECO ,Fossil fuels,Pathway,,Floor,0
AdvancedECO ,Fossil fuels,Baseline,,Floor,0
AdvancedECO ,Fossil fuels,Baseline,,"End Year, Retirement Trend",2100
AdvancedECO ,Fossil fuels,Pathway,,"End Year, Retirement Trend",2100
AdvancedECO ,Generation,Baseline,,Useful Life in Start Year,25
AdvancedECO ,Generation,Pathway,,Useful Life in Start Year,25
AdvancedECO ,Generation,Baseline,,Useful Life in End Year,45
AdvancedECO ,Generation,Pathway,,Useful Life in End Year,45
AdvancedECO ,Generation,Baseline,,"Start Year, Retirement Trend",1990
AdvancedECO ,Generation,Pathway,,"Start Year, Retirement Trend",1990
AdvancedECO ,Generation,Baseline,,Saturation Point,100
AdvancedECO ,Generation,Pathway,,Saturation Point,100
AdvancedECO ,Generation,Pathway,,"Parameter b, min",0
AdvancedECO ,Generation,Baseline,,"Parameter b, min",0
AdvancedECO ,Generation,Pathway,,"Parameter b, max",100
AdvancedECO ,Generation,Baseline,,"Parameter b, max",100
AdvancedECO ,Generation,Pathway,,"Parameter a, min",0
AdvancedECO ,Generation,Baseline,,"Parameter a, min",0
AdvancedECO ,Generation,Pathway,,"Parameter a, max",0
AdvancedECO ,Generation,Baseline,,"Parameter a, max",0
AdvancedECO ,Generation,Baseline,,Max annual growth,100
AdvancedECO ,Generation,Pathway,,Max annual growth,100
AdvancedECO ,Generation,Pathway,,Floor,100
AdvancedECO ,Generation,Baseline,,Floor,100
AdvancedECO ,Generation,Baseline,,"End Year, Retirement Trend",2100
AdvancedECO ,Generation,Pathway,,"End Year, Retirement Trend",2100
AdvancedECO ,Geothermal,Baseline,,Useful Life in Start Year,25
AdvancedECO ,Geothermal,Pathway,,Useful Life in Start Year,25
AdvancedECO ,Geothermal,Baseline,,Useful Life in End Year,45
AdvancedECO ,Geothermal,Pathway,,Useful Life in End Year,45
AdvancedECO ,Geothermal,Baseline,,"Start Year, Retirement Trend",1990
AdvancedECO ,Geothermal,Pathway,,"Start Year, Retirement Trend",1990
AdvancedECO ,Geothermal,Baseline,,Saturation Point,5
AdvancedECO ,Geothermal,Pathway,,Saturation Point,2
AdvancedECO ,Geothermal,Pathway,,"Parameter b, min",0
AdvancedECO ,Geothermal,Baseline,,"Parameter b, min",0
AdvancedECO ,Geothermal,Pathway,,"Parameter b, max",100
AdvancedECO ,Geothermal,Baseline,,"Parameter b, max",100
AdvancedECO ,Geothermal,Pathway,,"Parameter a, min",0
AdvancedECO ,Geothermal,Baseline,,"Parameter a, min",0
AdvancedECO ,Geothermal,Pathway,,"Parameter a, max",5
AdvancedECO ,Geothermal,Baseline,,"Parameter a, max",5
AdvancedECO ,Geothermal,Baseline,,Max annual growth,100
AdvancedECO ,Geothermal,Pathway,,Max annual growth,100
AdvancedECO ,Geothermal,Pathway,,Floor,0
AdvancedECO ,Geothermal,Baseline,,Floor,0
AdvancedECO ,Geothermal,Baseline,,"End Year, Retirement Trend",2100
AdvancedECO ,Geothermal,Pathway,,"End Year, Retirement Trend",2100
AdvancedECO ,Grid,Baseline,,Consumption:Generation,0.88
AdvancedECO ,Grid,Pathway,,Consumption:Generation,0.88
AdvancedECO ,Heat,Baseline,,Consumption:Generation,0.88
AdvancedECO ,Heat,Pathway,,Consumption:Generation,0.88
AdvancedECO ,Hydroelectric pumped storage,Baseline,,Useful Life in Start Year,25
AdvancedECO ,Hydroelectric pumped storage,Pathway,,Useful Life in Start Year,25
AdvancedECO ,Hydroelectric pumped storage,Baseline,,Useful Life in End Year,45
AdvancedECO ,Hydroelectric pumped storage,Pathway,,Useful Life in End Year,45
AdvancedECO ,Hydroelectric pumped storage,Baseline,,"Start Year, Retirement Trend",1990
AdvancedECO ,Hydroelectric pumped storage,Pathway,,"Start Year, Retirement Trend",1990
AdvancedECO ,Hydroelectric pumped storage,Baseline,,Saturation Point,5
AdvancedECO ,Hydroelectric pumped storage,Pathway,,Saturation Point,15
AdvancedECO ,Hydroelectric pumped storage,Pathway,,"Parameter b, min",0
AdvancedECO ,Hydroelectric pumped storage,Baseline,,"Parameter b, min",0
AdvancedECO ,Hydroelectric pumped storage,Pathway,,"Parameter b, max",100
AdvancedECO ,Hydroelectric pumped storage,Baseline,,"Parameter b, max",100
AdvancedECO ,Hydroelectric pumped storage,Pathway,,"Parameter a, min",0
AdvancedECO ,Hydroelectric pumped storage,Baseline,,"Parameter a, min",0
AdvancedECO ,Hydroelectric pumped storage,Pathway,,"Parameter a, max",5
AdvancedECO ,Hydroelectric pumped storage,Baseline,,"Parameter a, max",5
AdvancedECO ,Hydroelectric pumped storage,Baseline,,Max annual growth,100
AdvancedECO ,Hydroelectric pumped storage,Pathway,,Max annual growth,100
AdvancedECO ,Hydroelectric pumped storage,Pathway,,Floor,0
AdvancedECO ,Hydroelectric pumped storage,Baseline,,Floor,0
AdvancedECO ,Hydroelectric pumped storage,Baseline,,"End Year, Retirement Trend",2100
AdvancedECO ,Hydroelectric pumped storage,Pathway,,"End Year, Retirement Trend",2100
AdvancedECO ,Hydroelectricity,Baseline,,Useful Life in Start Year,25
AdvancedECO ,Hydroelectricity,Pathway,,Useful Life in Start Year,25
AdvancedECO ,Hydroelectricity,Baseline,,Useful Life in End Year,45
AdvancedECO ,Hydroelectricity,Pathway,,Useful Life in End Year,45
AdvancedECO ,Hydroelectricity,Baseline,,"Start Year, Retirement Trend",1990
AdvancedECO ,Hydroelectricity,Pathway,,"Start Year, Retirement Trend",1990
AdvancedECO ,Hydroelectricity,Baseline,,Saturation Point,5
AdvancedECO ,Hydroelectricity,Pathway,,Saturation Point,10
AdvancedECO ,Hydroelectricity,Pathway,,"Parameter b, min",18
AdvancedECO ,Hydroelectricity,Baseline,,"Parameter b, min",18
AdvancedECO ,Hydroelectricity,Pathway,,"Parameter b, max",18
AdvancedECO ,Hydroelectricity,Baseline,,"Parameter b, max",18
AdvancedECO ,Hydroelectricity,Pathway,,"Parameter a, min",-0.19
AdvancedECO ,Hydroelectricity,Baseline,,"Parameter a, min",-0.19
AdvancedECO ,Hydroelectricity,Pathway,,"Parameter a, max",-0.19
AdvancedECO ,Hydroelectricity,Baseline,,"Parameter a, max",-0.19
AdvancedECO ,Hydroelectricity,Baseline,,Max annual growth,100
AdvancedECO ,Hydroelectricity,Pathway,,Max annual growth,100
AdvancedECO ,Hydroelectricity,Pathway,,Floor,0
AdvancedECO ,Hydroelectricity,Baseline,,Floor,0
AdvancedECO ,Hydroelectricity,Baseline,,"End Year, Retirement Trend",2100
AdvancedECO ,Hydroelectricity,Pathway,,"End Year, Retirement Trend",2100
AdvancedECO ,Non-hydroelectric renewables,Baseline,,Useful Life in Start Year,25
AdvancedECO ,Non-hydroelectric renewables,Pathway,,Useful Life in Start Year,25
AdvancedECO ,Non-hydroelectric renewables,Baseline,,Useful Life in End Year,45
AdvancedECO ,Non-hydroelectric renewables,Pathway,,Useful Life in End Year,45
AdvancedECO ,Non-hydroelectric renewables,Baseline,,"Start Year, Retirement Trend",1990
AdvancedECO ,Non-hydroelectric renewables,Pathway,,"Start Year, Retirement Trend",1990
AdvancedECO ,Non-hydroelectric renewables,Baseline,,Saturation Point,5
AdvancedECO ,Non-hydroelectric renewables,Pathway,,Saturation Point,36
AdvancedECO ,Non-hydroelectric renewables,Pathway,,"Parameter b, min",0
AdvancedECO ,Non-hydroelectric renewables,Baseline,,"Parameter b, min",0
AdvancedECO ,Non-hydroelectric renewables,Pathway,,"Parameter b, max",100
AdvancedECO ,Non-hydroelectric renewables,Baseline,,"Parameter b, max",100
AdvancedECO ,Non-hydroelectric renewables,Pathway,,"Parameter a, min",0
AdvancedECO ,Non-hydroelectric renewables,Baseline,,"Parameter a, min",0
AdvancedECO ,Non-hydroelectric renewables,Pathway,,"Parameter a, max",5
AdvancedECO ,Non-hydroelectric renewables,Baseline,,"Parameter a, max",5
AdvancedECO ,Non-hydroelectric renewables,Baseline,,Max annual growth,100
AdvancedECO ,Non-hydroelectric renewables,Pathway,,Max annual growth,100
AdvancedECO ,Non-hydroelectric renewables,Pathway,,Floor,0
AdvancedECO ,Non-hydroelectric renewables,Baseline,,Floor,0
AdvancedECO ,Non-hydroelectric renewables,Baseline,,"End Year, Retirement Trend",2100
AdvancedECO ,Non-hydroelectric renewables,Pathway,,"End Year, Retirement Trend",2100
AdvancedECO ,Nuclear,Baseline,,Useful Life in Start Year,25
AdvancedECO ,Nuclear,Pathway,,Useful Life in Start Year,25
AdvancedECO ,Nuclear,Baseline,,Useful Life in End Year,45
AdvancedECO ,Nuclear,Pathway,,Useful Life in End Year,45
AdvancedECO ,Nuclear,Baseline,,"Start Year, Retirement Trend",1990
AdvancedECO ,Nuclear,Pathway,,"Start Year, Retirement Trend",1990
AdvancedECO ,Nuclear,Baseline,,Saturation Point,20
AdvancedECO ,Nuclear,Pathway,,Saturation Point,10
AdvancedECO ,Nuclear,Pathway,,"Parameter b, min",43
AdvancedECO ,Nuclear,Baseline,,"Parameter b, min",43
AdvancedECO ,Nuclear,Pathway,,"Parameter b, max",43
AdvancedECO ,Nuclear,Baseline,,"Parameter b, max",43
AdvancedECO ,Nuclear,Pathway,,"Parameter a, min",-0.1
AdvancedECO ,Nuclear,Baseline,,"Parameter a, min",-0.1
AdvancedECO ,Nuclear,Pathway,,"Parameter a, max",-0.1
AdvancedECO ,Nuclear,Baseline,,"Parameter a, max",-0.1
AdvancedECO ,Nuclear,Baseline,,Max annual growth,100
AdvancedECO ,Nuclear,Pathway,,Max annual growth,100
AdvancedECO ,Nuclear,Pathway,,Floor,0
AdvancedECO ,Nuclear,Baseline,,Floor,0
AdvancedECO ,Nuclear,Baseline,,"End Year, Retirement Trend",2100
AdvancedECO ,Nuclear,Pathway,,"End Year, Retirement Trend",2100
AdvancedECO ,Regenerative Agriculture | Biochar | Historical analogy adoption,Pathway,,"Parameter b, min",60.52
AdvancedECO ,Regenerative Agriculture | Biochar | Historical analogy adoption,Baseline,,"Parameter b, min",0
AdvancedECO ,Regenerative Agriculture | Biochar | Historical analogy adoption,Pathway,,"Parameter b, max",60.52
AdvancedECO ,Regenerative Agriculture | Biochar | Historical analogy adoption,Baseline,,"Parameter b, max",100
AdvancedECO ,Regenerative Agriculture | Biochar | Historical analogy adoption,Pathway,,"Parameter a, min",0.10618
AdvancedECO ,Regenerative Agriculture | Biochar | Historical analogy adoption,Baseline,,"Parameter a, min",0
AdvancedECO ,Regenerative Agriculture | Biochar | Historical analogy adoption,Pathway,,"Parameter a, max",0.10618
AdvancedECO ,Regenerative Agriculture | Biochar | Historical analogy adoption,Baseline,,"Parameter a, max",0
AdvancedECO ,Regenerative Agriculture | Biochar | Historical analogy adoption,Pathway,,Floor,0
AdvancedECO ,Regenerative Agriculture | Biochar | Historical analogy adoption,Baseline,,Floor,0
AdvancedECO ,Regenerative Agriculture | Croplands | Cropland Soil Health | Historical analogy adoption,Pathway,,"Parameter b, min",60.52
AdvancedECO ,Regenerative Agriculture | Croplands | Cropland Soil Health | Historical analogy adoption,Baseline,,"Parameter b, min",0
AdvancedECO ,Regenerative Agriculture | Croplands | Cropland Soil Health | Historical analogy adoption,Pathway,,"Parameter b, max",60.52
AdvancedECO ,Regenerative Agriculture | Croplands | Cropland Soil Health | Historical analogy adoption,Baseline,,"Parameter b, max",100
AdvancedECO ,Regenerative Agriculture | Croplands | Cropland Soil Health | Historical analogy adoption,Pathway,,"Parameter a, min",0.10618
AdvancedECO ,Regenerative Agriculture | Croplands | Cropland Soil Health | Historical analogy adoption,Baseline,,"Parameter a, min",0
AdvancedECO ,Regenerative Agriculture | Croplands | Cropland Soil Health | Historical analogy adoption,Pathway,,"Parameter a, max",0.10618
AdvancedECO ,Regenerative Agriculture | Croplands | Cropland Soil Health | Historical analogy adoption,Baseline,,"Parameter a, max",0
AdvancedECO ,Regenerative Agriculture | Croplands | Cropland Soil Health | Historical analogy adoption,Pathway,,Floor,0
AdvancedECO ,Regenerative Agriculture | Croplands | Cropland Soil Health | Historical analogy adoption,Baseline,,Floor,0
AdvancedECO ,Regenerative Agriculture | Croplands | Improved Rice | Historical analogy adoption,Pathway,,"Parameter b, min",60.52
AdvancedECO ,Regenerative Agriculture | Croplands | Improved Rice | Historical analogy adoption,Baseline,,"Parameter b, min",0
AdvancedECO ,Regenerative Agriculture | Croplands | Improved Rice | Historical analogy adoption,Pathway,,"Parameter b, max",60.52
AdvancedECO ,Regenerative Agriculture | Croplands | Improved Rice | Historical analogy adoption,Baseline,,"Parameter b, max",100
AdvancedECO ,Regenerative Agriculture | Croplands | Improved Rice | Historical analogy adoption,Pathway,,"Parameter a, min",0.10618
AdvancedECO ,Regenerative Agriculture | Croplands | Improved Rice | Historical analogy adoption,Baseline,,"Parameter a, min",0
AdvancedECO ,Regenerative Agriculture | Croplands | Improved Rice | Historical analogy adoption,Pathway,,"Parameter a, max",0.10618
AdvancedECO ,Regenerative Agriculture | Croplands | Improved Rice | Historical analogy adoption,Baseline,,"Parameter a, max",0
AdvancedECO ,Regenerative Agriculture | Croplands | Improved Rice | Historical analogy adoption,Pathway,,Floor,0
AdvancedECO ,Regenerative Agriculture | Croplands | Improved Rice | Historical analogy adoption,Baseline,,Floor,0
AdvancedECO ,Regenerative Agriculture | Croplands | Nitrogen Fertilizer Management | Historical analogy adoption,Pathway,,"Parameter b, min",60.52
AdvancedECO ,Regenerative Agriculture | Croplands | Nitrogen Fertilizer Management | Historical analogy adoption,Baseline,,"Parameter b, min",0
AdvancedECO ,Regenerative Agriculture | Croplands | Nitrogen Fertilizer Management | Historical analogy adoption,Pathway,,"Parameter b, max",60.52
AdvancedECO ,Regenerative Agriculture | Croplands | Nitrogen Fertilizer Management | Historical analogy adoption,Baseline,,"Parameter b, max",100
AdvancedECO ,Regenerative Agriculture | Croplands | Nitrogen Fertilizer Management | Historical analogy adoption,Pathway,,"Parameter a, min",0.10618
AdvancedECO ,Regenerative Agriculture | Croplands | Nitrogen Fertilizer Management | Historical analogy adoption,Baseline,,"Parameter a, min",0
AdvancedECO ,Regenerative Agriculture | Croplands | Nitrogen Fertilizer Management | Historical analogy adoption,Pathway,,"Parameter a, max",0.10618
AdvancedECO ,Regenerative Agriculture | Croplands | Nitrogen Fertilizer Management | Historical analogy adoption,Baseline,,"Parameter a, max",0
AdvancedECO ,Regenerative Agriculture | Croplands | Nitrogen Fertilizer Management | Historical analogy adoption,Pathway,,Floor,0
AdvancedECO ,Regenerative Agriculture | Croplands | Nitrogen Fertilizer Management | Historical analogy adoption,Baseline,,Floor,0
AdvancedECO ,Regenerative Agriculture | Croplands | Trees in Croplands | Historical analogy adoption,Pathway,,"Parameter b, min",60.52
AdvancedECO ,Regenerative Agriculture | Croplands | Trees in Croplands | Historical analogy adoption,Baseline,,"Parameter b, min",0
AdvancedECO ,Regenerative Agriculture | Croplands | Trees in Croplands | Historical analogy adoption,Pathway,,"Parameter b, max",60.52
AdvancedECO ,Regenerative Agriculture | Croplands | Trees in Croplands | Historical analogy adoption,Baseline,,"Parameter b, max",100
AdvancedECO ,Regenerative Agriculture | Croplands | Trees in Croplands | Historical analogy adoption,Pathway,,"Parameter a, min",0.10618
AdvancedECO ,Regenerative Agriculture | Croplands | Trees in Croplands | Historical analogy adoption,Baseline,,"Parameter a, min",0
AdvancedECO ,Regenerative Agriculture | Croplands | Trees in Croplands | Historical analogy adoption,Pathway,,"Parameter a, max",0.10618
AdvancedECO ,Regenerative Agriculture | Croplands | Trees in Croplands | Historical analogy adoption,Baseline,,"Parameter a, max",0
