Year:number,HadCRUT4 (mean):number,HadCRUT4 (upper):number,HadCRUT4 (lower):number,ERA-Interim:number,GISTEMP v4:number,NOAA GlobalTemp v5:number,Type:text
1943,0.32,0.44,0.19,,0.32,0.29,Global annual
1944,0.47,0.59,0.34,,0.43,0.46,Global annual
1945,0.35,0.47,0.22,,0.32,0.36,Global annual
1946,0.25,0.36,0.14,,0.15,0.18,Global annual
1947,0.29,0.4,0.17,,0.2,0.15,Global annual
1948,0.29,0.39,0.17,,0.12,0.13,Global annual
1949,0.25,0.35,0.14,,0.12,0.11,Global annual
1950,0.15,0.25,0.05,,0.05,0.03,Global annual
1951,0.27,0.37,0.17,,0.16,0.19,Global annual
1952,0.35,0.45,0.25,,0.24,0.23,Global annual
1953,0.42,0.52,0.32,,0.31,0.32,Global annual
1954,0.2,0.29,0.1,,0.1,0.09,Global annual
1955,0.14,0.23,0.04,,0.09,0.06,Global annual
1956,0.06,0.15,-0.03,,0.04,0,Global annual
1957,0.32,0.41,0.23,,0.28,0.26,Global annual
1958,0.37,0.46,0.28,,0.29,0.31,Global annual
1959,0.34,0.43,0.26,,0.26,0.27,Global annual
1960,0.28,0.36,0.19,,0.21,0.24,Global annual
1961,0.36,0.45,0.28,,0.29,0.28,Global annual
1962,0.34,0.42,0.25,,0.27,0.29,Global annual
1963,0.37,0.46,0.28,,0.28,0.31,Global annual
1964,0.1,0.19,0.02,,0.03,0.05,Global annual
1965,0.19,0.27,0.1,,0.12,0.12,Global annual
1966,0.26,0.34,0.17,,0.17,0.18,Global annual
1967,0.25,0.34,0.17,,0.21,0.19,Global annual
1968,0.21,0.29,0.13,,0.15,0.16,Global annual
1969,0.36,0.44,0.27,,0.29,0.29,Global annual
1970,0.3,0.38,0.22,,0.25,0.25,Global annual
1971,0.14,0.22,0.06,,0.15,0.12,Global annual
1972,0.26,0.34,0.18,,0.24,0.23,Global annual
1973,0.39,0.47,0.31,,0.39,0.38,Global annual
1974,0.11,0.19,0.03,,0.16,0.13,Global annual
1975,0.18,0.26,0.09,,0.22,0.2,Global annual
1976,0.08,0.16,0,,0.13,0.12,Global annual
1977,0.37,0.45,0.29,,0.41,0.4,Global annual
1978,0.26,0.35,0.18,,0.3,0.31,Global annual
1979,0.38,0.46,0.3,,0.39,0.42,Global annual
1980,0.42,0.5,0.33,,0.49,0.47,Global annual
1981,0.47,0.55,0.38,,0.55,0.51,Global annual
1982,0.34,0.42,0.25,,0.37,0.38,Global annual
1983,0.52,0.6,0.43,,0.54,0.55,Global annual
1984,0.31,0.39,0.23,,0.39,0.36,Global annual
1985,0.3,0.37,0.21,,0.35,0.35,Global annual
1986,0.37,0.45,0.29,,0.41,0.43,Global annual
1987,0.52,0.6,0.43,,0.55,0.57,Global annual
1988,0.52,0.61,0.44,,0.61,0.58,Global annual
1989,0.44,0.53,0.36,,0.5,0.48,Global annual
1990,0.62,0.71,0.54,,0.68,0.64,Global annual
1991,0.58,0.67,0.49,,0.63,0.58,Global annual
1992,0.43,0.52,0.34,,0.45,0.43,Global annual
1993,0.47,0.56,0.39,,0.46,0.47,Global annual
1994,0.53,0.62,0.44,,0.55,0.53,Global annual
1995,0.65,0.74,0.56,,0.68,0.66,Global annual
1996,0.51,0.59,0.42,,0.56,0.51,Global annual
1997,0.72,0.8,0.63,,0.7,0.7,Global annual
1998,0.86,0.95,0.77,,0.84,0.84,Global annual
1999,0.63,0.72,0.54,,0.62,0.63,Global annual
2000,0.62,0.71,0.53,,0.63,0.62,Global annual
2001,0.77,0.86,0.68,,0.77,0.76,Global annual
2002,0.82,0.91,0.73,,0.86,0.81,Global annual
2003,0.83,0.92,0.74,,0.85,0.83,Global annual
2004,0.77,0.86,0.68,,0.77,0.77,Global annual
2005,0.87,0.96,0.78,,0.91,0.86,Global annual
2006,0.83,0.92,0.74,,0.87,0.83,Global annual
2007,0.82,0.91,0.73,,0.89,0.81,Global annual
2008,0.72,0.81,0.63,,0.77,0.73,Global annual
2009,0.83,0.92,0.74,,0.89,0.84,Global annual
2010,0.89,0.98,0.79,,0.96,0.92,Global annual
2011,0.75,0.84,0.66,,0.84,0.77,Global annual
2012,0.8,0.89,0.71,,0.87,0.83,Global annual
2013,0.84,0.93,0.75,,0.92,0.86,Global annual
2014,0.9,0.99,0.82,,0.98,0.93,Global annual
2015,1.09,1.18,1,,1.13,1.12,Global annual
2016,1.12,1.21,1.03,,1.25,1.18,Global annual
2017,1,1.09,0.91,,1.15,1.1,Global annual
2018,0.92,1.01,0.84,,1.08,1.02,Global annual
2019,1.06,1.15,0.97,,1.21,1.14,Global annual
2020,,,,,,1.18,Global annual
2021,,,,,,1.01,Global annual
2022,,,,,,1.06,Global annual
1850,,,,,,,Global decadal
1855,0.01,0.08,-0.08,,,,Global decadal
1865,-0.02,0.05,-0.1,,,,Global decadal
1875,0.07,0.13,0,,,,Global decadal
1885,0.03,0.09,-0.04,,0.02,0.01,Global decadal
1895,-0.03,0.03,-0.1,,0,-0.05,Global decadal
1905,-0.08,-0.02,-0.14,,-0.08,-0.12,Global decadal
1915,-0.05,0.01,-0.11,,-0.1,-0.11,Global decadal
1925,0.09,0.14,0.03,,-0.01,-0.02,Global decadal
1935,0.21,0.25,0.16,,0.1,0.09,Global decadal
1945,0.32,0.37,0.27,,0.27,0.28,Global decadal
1955,0.26,0.31,0.22,,0.18,0.18,Global decadal
1965,0.27,0.31,0.23,,0.2,0.21,Global decadal
1975,0.25,0.28,0.21,,0.26,0.26,Global decadal
1985,0.42,0.46,0.38,,0.47,0.47,Global decadal
1995,0.6,0.65,0.55,,0.61,0.6,Global decadal
2005,0.79,0.84,0.74,,0.82,0.79,Global decadal
2015,0.94,0.99,0.89,,1.03,0.99,Global decadal
2020,,,,,,,Global decadal
1850,-0.22,0.23,-0.69,,,,European annual
1851,0.14,0.58,-0.33,,,,European annual
1852,0.46,0.88,0.01,,,,European annual
1853,-0.17,0.25,-0.63,,,,European annual
1854,0.12,0.59,-0.38,,,,European annual
1855,-0.71,-0.23,-1.21,,,,European annual
1856,-0.15,0.32,-0.65,,,,European annual
1857,0.37,0.82,-0.11,,,,European annual
1858,-0.04,0.37,-0.47,,,,European annual
1859,0.63,1.04,0.19,,,,European annual
1860,-0.36,0.04,-0.8,,,,European annual
1861,0.27,0.68,-0.18,,,,European annual
1862,0.1,0.53,-0.35,,,,European annual
1863,0.94,1.37,0.48,,,,European annual
1864,-0.58,-0.16,-1.04,,,,European annual
1865,0.19,0.61,-0.26,,,,European annual
1866,0.42,0.8,0,,,,European annual
1867,-0.21,0.17,-0.64,,,,European annual
1868,0.74,1.12,0.32,,,,European annual
1869,0.27,0.64,-0.14,,,,European annual
1870,-0.23,0.14,-0.63,,,,European annual
1871,-0.57,-0.21,-0.96,,,,European annual
1872,0.83,1.16,0.45,,,,European annual
1873,0.47,0.81,0.09,,,,European annual
1874,0.14,0.48,-0.24,,,,European annual
1875,-0.4,-0.07,-0.78,,,,European annual
1876,0.06,0.42,-0.33,,,,European annual
1877,-0.05,0.29,-0.44,,,,European annual
1878,0.45,0.79,0.07,,,,European annual
1879,-0.4,-0.07,-0.78,,,,European annual
1880,0.2,0.53,-0.18,,0,0.05,European annual
1881,-0.36,-0.03,-0.74,,-0.6,-0.44,European annual
1882,0.42,0.75,0.05,,0.26,0.25,European annual
1883,0.15,0.49,-0.24,,-0.01,-0.09,European annual
1884,0.26,0.6,-0.12,,0.1,0.02,European annual
1885,-0.14,0.18,-0.51,,-0.23,-0.2,European annual
1886,-0.02,0.29,-0.38,,-0.09,-0.05,European annual
1887,-0.16,0.16,-0.52,,-0.28,-0.17,European annual
1888,-0.63,-0.35,-0.96,,-0.83,-0.74,European annual
1889,0.01,0.3,-0.33,,-0.03,-0.12,European annual
1890,0.12,0.39,-0.2,,0.02,-0.03,European annual
1891,0,0.26,-0.32,,-0.11,-0.14,European annual
1892,-0.16,0.1,-0.48,,-0.28,-0.23,European annual
1893,-0.03,0.21,-0.34,,-0.13,-0.19,European annual
1894,0.35,0.59,0.04,,0.27,0.22,European annual
1895,0.07,0.32,-0.23,,0.06,0.02,European annual
1896,0.14,0.39,-0.16,,0.04,0,European annual
1897,0.36,0.61,0.06,,0.4,0.29,European annual
1898,0.47,0.72,0.17,,0.47,0.39,European annual
1899,0.33,0.56,0.03,,0.28,0.3,European annual
1900,0.29,0.53,-0.01,,0.2,0.25,European annual
1901,0.36,0.59,0.06,,0.26,0.29,European annual
1902,-0.26,-0.04,-0.55,,-0.33,-0.31,European annual
1903,0.26,0.48,-0.01,,0.18,0.21,European annual
1904,0.16,0.37,-0.11,,0.1,0.09,European annual
1905,0.14,0.35,-0.12,,0.07,0.08,European annual
1906,0.3,0.5,0.04,,0.19,0.26,European annual
1907,-0.15,0.05,-0.4,,-0.2,-0.22,European annual
1908,0.11,0.3,-0.14,,0.08,0.04,European annual
1909,-0.02,0.18,-0.26,,-0.14,-0.12,European annual
1910,0.43,0.62,0.2,,0.22,0.33,European annual
1911,0.49,0.67,0.27,,0.25,0.29,European annual
1912,0.03,0.21,-0.18,,-0.12,-0.08,European annual
1913,0.47,0.64,0.26,,0.22,0.3,European annual
1914,0.39,0.56,0.18,,0.24,0.25,European annual
1915,-0.08,0.1,-0.3,,-0.12,-0.12,European annual
1916,0.51,0.69,0.3,,0.37,0.45,European annual
1917,-0.23,-0.06,-0.43,,-0.35,-0.28,European annual
1918,0.37,0.52,0.19,,0.29,0.27,European annual
1919,-0.12,0.04,-0.31,,-0.19,-0.2,European annual
1920,0.61,0.76,0.44,,0.49,0.5,European annual
1921,0.57,0.72,0.4,,0.41,0.41,European annual
1922,0.12,0.26,-0.04,,0.09,-0.04,European annual
1923,0.34,0.46,0.19,,0.26,0.19,European annual
1924,0.35,0.46,0.21,,0.28,0.19,European annual
1925,0.4,0.51,0.27,,0.31,0.22,European annual
1926,0.65,0.75,0.52,,0.59,0.5,European annual
1927,0.52,0.63,0.4,,0.4,0.36,European annual
1928,0.5,0.6,0.39,,0.39,0.37,European annual
1929,0.12,0.21,0.02,,0.09,-0.04,European annual
1930,1,1.08,0.91,,0.9,0.86,European annual
1931,0.19,0.28,0.1,,0.2,0.08,European annual
1932,0.53,0.61,0.44,,0.46,0.39,European annual
1933,0.23,0.31,0.14,,0.26,0.08,European annual
1934,1.17,1.25,1.08,,1.01,1,European annual
1935,0.67,0.75,0.58,,0.54,0.53,European annual
1936,0.77,0.85,0.69,,0.64,0.67,European annual
1937,1.07,1.15,0.99,,1,0.97,European annual
1938,0.97,1.05,0.89,,0.9,0.86,European annual
1939,0.77,0.85,0.69,,0.66,0.61,European annual
1940,-0.12,-0.04,-0.2,,-0.14,-0.28,European annual
1941,-0.12,-0.04,-0.2,,-0.15,-0.31,European annual
1942,-0.04,0.04,-0.12,,-0.09,-0.19,European annual
1943,0.9,0.99,0.82,,0.74,0.77,European annual
1944,0.6,0.69,0.52,,0.53,0.45,European annual
1945,0.8,0.88,0.72,,0.77,0.67,European annual
1946,0.78,0.86,0.71,,0.73,0.65,European annual
1947,0.79,0.87,0.72,,0.73,0.67,European annual
1948,0.74,0.81,0.66,,0.72,0.64,European annual
1949,0.86,0.94,0.79,,0.88,0.81,European annual
1950,0.83,0.9,0.76,,0.8,0.73,European annual
1951,0.65,0.71,0.59,,0.49,0.56,European annual
1952,0.57,0.63,0.51,,0.5,0.46,European annual
1953,0.8,0.87,0.75,,0.75,0.67,European annual
1954,0.4,0.46,0.34,,0.37,0.32,European annual
1955,0.57,0.63,0.52,,0.56,0.49,European annual
1956,-0.22,-0.16,-0.28,,-0.16,-0.35,European annual
1957,0.77,0.83,0.71,,0.74,0.7,European annual
1958,0.61,0.67,0.56,,0.6,0.54,European annual
1959,0.85,0.91,0.8,,0.79,0.75,European annual
1960,0.91,0.96,0.86,,0.84,0.86,European annual
1961,1.11,1.17,1.07,,1.03,1.08,European annual
1962,0.41,0.46,0.37,,0.34,0.35,European annual
1963,0.22,0.28,0.18,,0.14,0.18,European annual
1964,0.48,0.54,0.44,,0.47,0.42,European annual
1965,0.07,0.12,0.03,,0.13,0.03,European annual
1966,0.6,0.65,0.55,,0.53,0.58,European annual
1967,0.48,0.53,0.44,,0.42,0.46,European annual
1968,0.33,0.38,0.29,,0.23,0.3,European annual
1969,0.11,0.17,0.07,,0.08,0.08,European annual
1970,0.36,0.41,0.32,,0.36,0.35,European annual
1971,0.41,0.46,0.37,,0.42,0.41,European annual
1972,0.46,0.51,0.42,,0.47,0.47,European annual
1973,0.36,0.41,0.32,,0.37,0.37,European annual
1974,0.76,0.81,0.72,,0.7,0.75,European annual
1975,0.77,0.82,0.73,,0.7,0.79,European annual
1976,0.16,0.21,0.12,,0.25,0.15,European annual
1977,0.47,0.52,0.44,,0.47,0.49,European annual
1978,0.13,0.18,0.09,,0.16,0.14,European annual
1979,0.31,0.36,0.27,,0.32,0.35,European annual
1980,0.11,0.16,0.07,,0.2,0.13,European annual
1981,0.39,0.45,0.35,,0.42,0.43,European annual
1982,0.65,0.7,0.6,,0.66,0.67,European annual
1983,0.7,0.76,0.66,,0.7,0.72,European annual
1984,0.59,0.65,0.55,,0.67,0.6,European annual
1985,0.07,0.13,0.03,,0.13,0.09,European annual
1986,0.41,0.47,0.37,,0.41,0.41,European annual
1987,0.27,0.32,0.22,,0.34,0.26,European annual
1988,0.75,0.81,0.71,,0.76,0.8,European annual
1989,1.31,1.37,1.27,,1.33,1.37,European annual
1990,1.4,1.46,1.36,,1.48,1.45,European annual
1991,0.75,0.81,0.71,,0.85,0.79,European annual
1992,0.8,0.86,0.76,,0.85,0.83,European annual
1993,0.52,0.58,0.47,,0.57,0.58,European annual
1994,1.29,1.35,1.25,,1.28,1.35,European annual
1995,0.96,1.02,0.92,,1.1,1.06,European annual
1996,0.53,0.59,0.48,,0.62,0.58,European annual
1997,1.06,1.12,1.01,,1.14,1.12,European annual
1998,1.1,1.16,1.06,,1.2,1.18,European annual
1999,1.45,1.52,1.4,,1.56,1.58,European annual
2000,1.54,1.61,1.48,,1.54,1.63,European annual
2001,1.3,1.37,1.24,,1.38,1.4,European annual
2002,1.54,1.61,1.49,,1.61,1.6,European annual
2003,1.48,1.55,1.43,,1.54,1.55,European annual
2004,1.32,1.39,1.26,,1.43,1.39,European annual
2005,1.19,1.26,1.13,,1.37,1.31,European annual
2006,1.58,1.66,1.53,,1.72,1.68,European annual
2007,1.66,1.73,1.6,,1.75,1.79,European annual
2008,1.57,1.64,1.51,,1.64,1.66,European annual
2009,1.5,1.58,1.44,,1.6,1.59,European annual
2010,1.08,1.15,1.02,,1.21,1.2,European annual
2011,1.57,1.65,1.52,,1.73,1.68,European annual
2012,1.39,1.47,1.34,,1.48,1.5,European annual
2013,1.42,1.5,1.36,,1.53,1.53,European annual
2014,2.22,2.3,2.16,,2.27,2.3,European annual
2015,1.89,1.98,1.83,,1.99,1.98,European annual
2016,1.87,1.96,1.81,,2.09,2.04,European annual
2017,1.74,1.84,1.66,,1.98,1.93,European annual
2018,2.12,2.22,2.04,,2.23,2.3,European annual
2019,2.02,2.13,1.94,,2.12,2.18,European annual
1850,,,,,,,European decadel
1855,-0.04,0.23,-0.37,,,,European decadel
1865,0.21,0.47,-0.11,,,,European decadel
1875,0.1,0.34,-0.21,,,,European decadel
1885,-0.07,0.17,-0.38,,-0.17,-0.15,European decadel
1895,0.13,0.36,-0.16,,0.1,0.06,European decadel
1905,0.15,0.35,-0.12,,0.04,0.06,European decadel
1915,0.24,0.38,0.04,,0.08,0.12,European decadel
1925,0.39,0.5,0.26,,0.33,0.26,European decadel
1935,0.67,0.75,0.58,,0.66,0.61,European decadel
1945,0.51,0.58,0.43,,0.47,0.39,European decadel
1955,0.58,0.64,0.52,,0.54,0.49,European decadel
1965,0.55,0.59,0.5,,0.42,0.43,European decadel
1975,0.4,0.44,0.35,,0.42,0.43,European decadel
1985,0.43,0.48,0.38,,0.56,0.55,European decadel
1995,0.97,1.03,0.92,,1.07,1.05,European decadel
2005,1.46,1.52,1.41,,1.56,1.56,European decadel
2015,1.68,1.75,1.62,,1.86,1.86,European decadel
2020,,,,,,,European decadel
