Region,Sector,Metric,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
NonOECD,Buildings,Solar Thermal,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255.0,277.4,295.7
NonOECD,Buildings,Biochar,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DevelopingECO,Industry,Solar Thermal,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
DevelopingECO,Industry,Biochar,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
DevelopingECO,Buildings,Solar Thermal,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255.0,277.4,295.7
DevelopingECO,Buildings,Biochar,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AdvancedECO,Industry,Solar Thermal,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
AdvancedECO,Industry,Biochar,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
AdvancedECO,Buildings,Solar Thermal,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255.0,277.4,295.7
AdvancedECO,Buildings,Biochar,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
