Region,Variable,Unit,Model,Year,Value
World,GDP|MER,billion US$2005/yr,Baseline,2090,"304,024"
World,GDP|MER,billion US$2005/yr,Baseline,2100,"366,724"
World,GDP|MER,billion US$2005/yr,Pathway,2005,"41,332"
World,GDP|MER,billion US$2005/yr,Pathway,2010,"45,049"
World,GDP|MER,billion US$2005/yr,Pathway,2020,"59,132"
World,GDP|MER,billion US$2005/yr,Pathway,2030,"76,562"
World,GDP|MER,billion US$2005/yr,Pathway,2040,"97,915"
World,GDP|MER,billion US$2005/yr,Pathway,2050,"124,459"
World,GDP|MER,billion US$2005/yr,Pathway,2060,"156,601"
World,GDP|MER,billion US$2005/yr,Pathway,2070,"196,639"
World,GDP|MER,billion US$2005/yr,Pathway,2080,"245,969"
World,GDP|MER,billion US$2005/yr,Pathway,2090,"304,024"
World,GDP|MER,billion US$2005/yr,Pathway,2100,"366,724"
World,Population,million,Baseline,2005,"6,464"
World,Population,million,Baseline,2010,"6,911"
World,Population,million,Baseline,2020,"7,620"
World,Population,million,Baseline,2030,"8,203"
World,Population,million,Baseline,2040,"8,639"
World,Population,million,Baseline,2050,"8,937"
World,Population,million,Baseline,2060,"9,133"
World,Population,million,Baseline,2070,"9,194"
World,Population,million,Baseline,2080,"9,135"
World,Population,million,Baseline,2090,"8,981"
World,Population,million,Baseline,2100,"8,769"
World,Population,million,Pathway,2005,"6,464"
World,Population,million,Pathway,2010,"6,911"
World,Population,million,Pathway,2020,"7,620"
World,Population,million,Pathway,2030,"8,203"
World,Population,million,Pathway,2040,"8,639"
World,Population,million,Pathway,2050,"8,937"
World,Population,million,Pathway,2060,"9,133"
World,Population,million,Pathway,2070,"9,194"
World,Population,million,Pathway,2080,"9,135"
World,Population,million,Pathway,2090,"8,981"
World,Population,million,Pathway,2100,"8,769"
World,Price|Carbon,US$2005/t CO2,Baseline,2005,-
World,Price|Carbon,US$2005/t CO2,Baseline,2010,-
World,Price|Carbon,US$2005/t CO2,Baseline,2020,-
World,Price|Carbon,US$2005/t CO2,Baseline,2030,-
World,Price|Carbon,US$2005/t CO2,Baseline,2040,-
World,Price|Carbon,US$2005/t CO2,Baseline,2050,-
World,Price|Carbon,US$2005/t CO2,Baseline,2060,-
World,Price|Carbon,US$2005/t CO2,Baseline,2070,-
World,Price|Carbon,US$2005/t CO2,Baseline,2080,-
World,Price|Carbon,US$2005/t CO2,Baseline,2090,-
World,Price|Carbon,US$2005/t CO2,Baseline,2100,-
World,Price|Carbon,US$2005/t CO2,Pathway,2005,-
World,Price|Carbon,US$2005/t CO2,Pathway,2010,-
World,Price|Carbon,US$2005/t CO2,Pathway,2020,-
World,Price|Carbon,US$2005/t CO2,Pathway,2030,-
World,Price|Carbon,US$2005/t CO2,Pathway,2040,-
World,Price|Carbon,US$2005/t CO2,Pathway,2050,-
World,Price|Carbon,US$2005/t CO2,Pathway,2060,-
World,Price|Carbon,US$2005/t CO2,Pathway,2070,-
World,Price|Carbon,US$2005/t CO2,Pathway,2080,-
World,Price|Carbon,US$2005/t CO2,Pathway,2090,-
World,Price|Carbon,US$2005/t CO2,Pathway,2100,-
