Region,ONSHORE,OFFSHORE,TIDE,GEOTHERM,HYDRO,ROOFTOP,SOLARPV,SOLARTH
Congo,0.329141098189649,0.128365028293963,0.002691850908046,0,0.056905011407243,0.354531982907136,0.128365028293963,0
"Congo, Democratic Republic of",0.337154684122046,0.015336299273259,0.001277592869221,0,0.129767035682205,0.293324575186181,0.197071151723631,0.026068661143457
Costa Rica,0.213495114197979,0.054797079310815,0.002295655692893,0.244026449042585,0.264571104432956,0.151344314287011,0.054797079310815,0.014673203724947
Cote d'Ivoire,0.35900490698537,0.113086545700392,0.002379451726015,0,0.072350169445711,0.312334269077272,0.113086545700392,0.027758111364848
Croatia,0.131228225202137,0,0.002399708560216,0.001334306839178,0.136938397773382,0.325780819066856,0.385131990821686,0.017186551736545
Cuba,0.337321110062389,0.131555232924332,0.003114752965575,0,0.003303184994989,0.363343024267202,0.131555232924332,0.029807461861183
Cyprus,0.080990597462811,0.236247225179687,0.003866818191272,0,0,0.412764138532282,0.236247225179687,0.029883995454262
Czech Republic,0.340043766864524,0,0,0,0.028446380387074,0.183081830424459,0.448428022323943,0
Denmark,0.448166390144294,0.225266331690411,0.003657077863476,0,0.000417610704759,0.097226257906648,0.225266331690411,0
Djibouti,0,0,0,0,0,0,0,0
Dominican Republic,0.231348939108956,0.128804647922298,0.000807537941886,0.085399945161264,0.042963232973539,0.35574617045206,0.128804647922298,0.026124878517699
Ecuador,0.337163953860849,0.028916926344466,0.006219822922459,0.003096986787778,0.218257179153796,0.239011780625802,0.14416056997077,0.023172780334079
Egypt,0.238899972401819,0.150506982613146,9.02229613923819E-05,0,0.014755251670283,0.415685951979165,0.150506982613146,0.02955463576105
El Salvador,0.242926235917189,0.062351067218745,0.001953001572736,0.335853010006087,0.105661947373781,0.172207709461297,0.062351067218745,0.016695961231422
Equatorial Guinea,0.031470980934436,0.228343864685662,0.002354884734465,0,0.010849241975067,0.354861354443163,0.342515797028494,0.029603876198714
Eritrea,0.337463,0.13161057,0.006,0,0,0.36349586,0.13161057,0.02982
Estonia,0.347658594866904,0.252363660949235,0.004983580491737,0,0.001706148459965,0.140924354282924,0.252363660949235,0
Ethiopia,0.324784580523602,0,0,0.070133175442404,0.092793163414292,0.282562585055533,0.204614285729869,0.025112209834299
Fiji,0,0,0,0,0,0,0,0
Finland,0.418664664061164,0.228047288064866,0.000241484327525,0,0.069392595536554,0.055606679945025,0.228047288064866,0
France,0.313976727614487,0.168672025112361,0.003849174681152,0.000257939357863,0.080508840437699,0.245755586773611,0.168672025112361,0.018307680910466
French Guiana,0,0,0,0,0,0,0,0
Gabon,0.186709722061367,0.211392747368442,0.002435809220223,0,0.017189134608667,0.370879839372859,0.211392747368442,0
Gambia,0,0,0,0,0,0,0,0
Georgia,0.246637708127473,0.063303678419385,0.000600307709292,0,0.451315896451879,0.174838730872586,0.063303678419385,0
Germany,0.429213392978117,0.195803249970232,0.001012738516927,0.000218958186273,0.014160162687953,0.163788247690265,0.195803249970232,0
Ghana,0.199113435882727,0.147420230399895,0.002156644753269,0,0.073162920755951,0.40298612477354,0.147420230399895,0.027740413034723
Gibraltar,9.98385366633146E-05,0.97692630752074,0.001614633366853,0,0,0.001421948993688,0.019937271582056,0
Greece,0.383313897277371,0.099135095352178,0.003573209626694,0.027324977116563,0.090948554889341,0.270224572634653,0.099135095352178,0.026344597751022
Grenada,0,0,0,0,0,0,0,0
Guatemala,0.248797498594299,0.063858024639203,0.001554405474609,0.30978574860169,0.118677031274677,0.176369782336848,0.063858024639204,0.017099484439471
Guinea,0,0,0,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0,0,0,0
Guyana,0,0,0,0,0,0,0,0
Haiti,0.200413076910454,0.176776632812031,0.003940600660807,0,0.016602375342898,0.396106970741891,0.176776632812031,0.029383710719889
Honduras,0.335987292556414,0.086236738422813,0.002587257811747,0.127350162813261,0.100332241330516,0.238177658501102,0.086236738422813,0.023091910141334
"Hong Kong, China",0.000646742113607,0.844458549881957,0.001420107029226,0,0,0.016004604482798,0.137469996492412,0
Hungary,0.148445425127468,0,0,0.023043412865001,0.001885900582639,0.290009551058453,0.536615710366438,0
Iceland,0.440921821994064,0.013227654659822,0.003660252025228,0.235388888413605,0.306392280185843,0,0.000409102721438,0
India,0.284396297044952,0.062300596771485,0.000717855945129,0.000239470394433,0.021735810963009,0.326261587135562,0.275029175864508,0.029319205880923
Indonesia,0.142398315863629,0.162349875892872,0.002192501991146,0.040082717736298,0.013917601950347,0.448394895323171,0.162349875892872,0.028314215349666
"Iran, Islamic Republic of",0.236002666258656,0.12104477900031,4.21247673185669E-05,2.16239578242608E-05,0.026729380105144,0.314538994052401,0.272424225723255,0.029196206135091
Iraq,0.2332715041554,0.007738407838565,2.335552593745E-05,0,0.038032297441487,0.405892417230395,0.286183687397238,0.028858330410977
Ireland,0.442909441216857,0.184027261268815,0.002662715045627,0,0.013094082250246,0.17327923894964,0.184027261268815,0
Israel,0.079270799412919,0.152269606374068,0.000152587222745,0,0.00025287686835,0.310136813682286,0.427929480362365,0.029987836077267
Italy,0.367802832843054,0.148344242218639,0.002017324492115,0.009704083725817,0.080341786062198,0.21620738426794,0.148344242218639,0.027238104171596
Jamaica,0.047219024310486,0.253907665981997,0.001517752350593,0,0.00457064723213,0.409059896130278,0.253907665981997,0.029817348012518
Japan,0.103712154395418,0.312502106485948,0.004757621821177,0.007033031856761,0.05986844365111,0.199624535303638,0.312502106485948,0
Jordan,0.24230081502568,0.014576422732598,5.82570001561143E-05,0,0.000763124337245,0.382384251413783,0.329941770930659,0.029975358559878
Kazakhstan,0.38453778000184,0,0,0,0.0386555499954,0.334547868601601,0.242258801401159,0
Kenya,0.366027268510118,0.093946998917597,0.001935483048158,0.126919649620111,0.032594424009583,0.259472663677172,0.093946998917597,0.025156513299664
Kiribati,0,0,0,0,0,0,0,0
"Korea, Democratic People's Republic of",0.319106148091349,0.106081494553364,0.004321601535209,0,0.279733077465234,0.177855636338253,0.106081494553364,0.006820547463227
"Korea, Republic of",0.04517433601859,0.382372868861315,0.001537462192657,0,0.005640541612809,0.153117262567478,0.382372868861315,0.029784659885836
Kosovo,0.235274409055365,0,0,0.443558803171522,0.02832804518905,0.166783414419247,0.120774196648421,0.005281131516394
Kuwait,0.009004433082965,0.178256198069727,0.000116550787691,0,0,0.06069388690282,0.721932427680428,0.029996503476369
Kyrgyzstan,0.24091592559229,0,0,0,0.448073480888224,0.170782622808757,0.123670175137376,0.016557795573353
Lao PDR,0.0021825,0,0,0,0.995,0.00154715,0.00112035,0.00015
Latvia,0.349705869480214,0.126194481384139,0.000879407669746,0,0.221996437929777,0.175029322151985,0.126194481384139,0
Lebanon,0.023281795258931,0.243650412418052,0.000260488789187,0,0.019720509228279,0.214202931871712,0.469483292374363,0.029400570059476
Lesotho,0,0,0,0,0,0,0,0
Liberia,0,0,0,0,0,0,0,0
Libya,0.242412644621401,0.158102770350857,0.000360228365358,0,0,0.411032393162487,0.158102770350857,0.029989193149039
Lithuania,0.395785974684438,0.17861585520232,0.000183239001648,0,0.010351824287256,0.236447251622017,0.17861585520232,0
Luxembourg,0.077877219131603,0,0,0,0.006212703769993,0.030250339702956,0.885659737395448,0
"Macedonia, North",0.183183026048467,0,0,0,0.143312878277941,0.356061215429395,0.317442880244196,0
Madagascar,0,0,0,0,0,0,0,0
Malawi,0,0,0,0,0,0,0,0
Malaysia,0.025235217238449,0.235671026324835,0.00196157017293,0,0.034967893526396,0.385913211588922,0.287358965059448,0.02889211608902
Maldives,0,0,0,0,0,0,0,0
Mali,0,0,0,0,0,0,0,0
Malta,0.008595761028046,0.456683185443783,0.003077983660175,0,0,0.045052223934019,0.456683185443783,0.029907660490195
Mauritania,0,0,0,0,0,0,0,0
Mauritius,0.015104701482983,0.28022915022158,0.002723670558344,0,0.014432525807945,0.377795487598557,0.28022915022158,0.029485314109011
Mexico,0.361333189249247,0.113819954613513,0.002015962416311,0.028362649333848,0.038350281937348,0.314359874646845,0.113819954613513,0.027938133189375
Micronesia,0,0,0,0,0,0,0,0
"Moldova, Republic of",0.394693641507925,0,0,0,0.013265896230187,0.225921025701745,0.366119436560143,0
Mongolia,0.448927161054518,0,0,0,0.002384086545517,0.31823947639198,0.230449276007986,0
Montenegro,0.237931937181877,0.084529183112795,0.002357230668989,0,0.350721701889985,0.233461553359149,0.084529183112795,0.00646921067441
Morocco,0.234949486699895,0.148018176620934,0.002264038885346,0,0.028872098434674,0.408812106857818,0.148018176620934,0.029065915880399
Mozambique,0.355801382847913,0.091322354930964,0.00656363638977,0,0.178312920659683,0.252223646952188,0.091322354930965,0.024453703288516
Myanmar,0.38744531733114,0.104967788292601,0.004228345800081,0,0.081037707552201,0.289911034331944,0.104967788292601,0.027442018399432
Namibia,0.36222282000844,0.114100188302659,0.004233386495883,0,0.0622026444102,0.315133853407343,0.114100188302659,0.028006919072818
Nepal,0.223750104179402,0,0,0,0.052688858232561,0.257752508680756,0.437389194654258,0.028419334253023
Netherlands,0.121680740715464,0.421901167642376,6.64637617123603E-05,0,0.000431471762587,0.034018988475484,0.421901167642376,0
Curacao,0.017353400980193,0.448178577380527,0.001523310109707,0,0,0.054811833452337,0.448178577380527,0.029954300696709
New Zealand,0.330069027504284,0.10320118605601,0.004150356898304,0.096384848478294,0.143292910306601,0.197015328170994,0.10320118605601,0.022685156529504
Nicaragua,0.330255385443032,0.084765548930378,0.003787701349723,0.201009806286463,0.038603671188481,0.234114373236283,0.084765548930378,0.02269796463526
Niger,0.3395,0,0,0,0,0.36569,0.26481,0.03
Nigeria,0.125043985710203,0,0.002026409148153,0,0.012072447913227,0.48214247130535,0.349137651634908,0.029577034288159
Norway,0.12973652070739,0.052363993265615,0.002321511629139,0,0.709375109021105,0.053838872111137,0.052363993265615,0
Oman,0.167700525589451,0.187345255456154,0.002280185194162,0,0,0.255561512558338,0.35718092675772,0.029931594444175
Pakistan,0.201893870558083,0.088785924444351,0.001959871428203,0,0.040803221802166,0.328985560686094,0.308854443878014,0.028717107203089
Panama,0.380327161548438,0.097617304797432,0.007016075029209,0,0.12167313104539,0.269609698964337,0.097617304797432,0.026139323817762
Papua New Guinea,0,0,0,0,0,0,0,0
Paraguay,0.123895173021207,0,0,0,0.7161622611198,0.0878279115417,0.063599522150887,0.008515132166406
Peru,0.352739763924107,0.000187104408873,0.002036190747658,0.06074755705377,0.129106827401076,0.25005329931509,0.180885974405502,0.024243282743925
Philippines,0.074351108691299,0.157089410756947,0.004295523744059,0.108842363735112,0.039031265284109,0.433865991614425,0.157089410756947,0.025434925417102
Poland,0.396934739094206,0.138778973658547,5.45750434130688E-05,0.001876608109376,0.005731969111695,0.317844161324216,0.138778973658547,0
Portugal,0.369934966537656,0.101586490161193,0.006824365292737,0.005761122006986,0.139911725672428,0.248969756556972,0.101586490161193,0.025425083610836
Qatar,0.004460578655768,0.166087189622873,0.000103857535673,0,0,0.028010796023322,0.771340693888434,0.02999688427393
Romania,0.380811990856876,0.124275961580323,8.94182964611426E-05,0.0043225378851,0.149336707816673,0.216884954553315,0.124275961580322,2.46743092974402E-06
Russian Federation,0.405654239336969,0.134639806530313,0.002129118468821,0.001590399890229,0.085721021849773,0.226520012795671,0.134639806530313,0.009105594597912
Rwanda,0,0,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0
Samoa,0,0,0,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0,0,0,0
Saudi Arabia,0.193990880425384,0.036201748527846,4.70081165795288E-05,0,0,0.333444979298095,0.406316793875593,0.029998589756503
Senegal,0.333990844541608,0.130256429371227,0.003031842742613,0,0.013195419285052,0.359755852549103,0.130256429371227,0.02951318213917
Serbia,0.139305931358218,0,0,0,0.121377613206261,0.361712550419694,0.377603905015827,0
Seychelles,0,0,0,0,0,0,0,0
Sierra Leone,0,0,0,0,0,0,0,0
Singapore,0.000210798453379,0.883937552350295,2.22723797622309E-05,0.045764654677742,0,0.013643176244122,0.0564215458947,0
Slovak Republic,0.410770207090491,0,0,0,0.087177317576688,0.220833595139422,0.281218880193399,0
Slovenia,0.368222838704623,0.091331673217253,0.000158136291586,0.021452109883675,0.160116778925576,0.227255591979454,0.131462870997833,0
Solomon Islands,0,0,0,0,0,0,0,0
Somalia,0,0,0,0,0,0,0,0
South Africa,0.289524078433567,0.190435758765575,0.00207776421487,0,0.002994131202426,0.294684665480505,0.190435758765575,0.029847843137481
South Sudan,0.291,0,0,0,0,0.39382,0.28518,0.03
Spain,0.39031716939751,0.128882531290247,0.004944010967453,0.000573075905063,0.090970946929545,0.219289255572017,0.128882531290247,0.036140478647918
Sri Lanka,0.271337159003943,0.132955207911932,0.00229725658394,0,0.065272643746152,0.367209621852003,0.132955207911932,0.027972902990097
Sudan,0.269766103890756,0.132185390906471,0.000334564480791,0,0.072634150671249,0.365083460598824,0.132185390906471,0.027810938545439
Suriname,0.238163471098975,0.116700100838498,0.006514336381095,0,0.175054491457481,0.322314564220612,0.116700100838497,0.024552935164843
Swaziland,0,0,0,0,0,0,0,0
Sweden,0.335028154490735,0.17213789694208,0.000765578419833,0,0.254727411600756,0.065203061604517,0.17213789694208,0
Switzerland,0.261342418539793,0,0,0,0.419239069911571,0.185262736698209,0.134155774850427,0
Syrian Arab Republic,0.218062710380402,0.137379507539653,0.000225240576633,0,0.100547087751607,0.379429116061899,0.137379507539653,0.026976830150153
Tajikistan,0.095468444238866,0,0,0,0.781286496589081,0.067676519360441,0.049007134709285,0.006561405102328
"Tanzania, United Republic of",0.282509786516869,0.138429795393266,0.007817387472217,0,0.02135860387875,0.382329911086162,0.138429795393266,0.029124720259471
Thailand,0.038889170281233,0.195311132732448,8.13286798284516E-05,0.000836830281696,0.013605103632468,0.393404412726102,0.328307719544045,0.02956430212218
Timor-Leste (East Timor),0,0,0,0,0,0,0,0
Togo,0.315275550938449,0.161063400875636,0.002408635402804,0,0.01422696087753,0.316461118918355,0.161063400875636,0.02950093211159
Tonga,0,0,0,0,0,0,0,0
Trinidad and Tobago,0.006682779980752,0.342972327840045,0.002490026643497,0,0,0.274957238494966,0.342972327840045,0.029925299200695
Tunisia,0.193408456727085,0.074151377738776,0.000426878521353,0,0.002622313607076,0.40287693821446,0.296605510955103,0.029908524236147
Turkey,0.280880729207169,0.018459976908472,0.000180369155493,0.014782965725797,0.157700202063719,0.30254867117458,0.20062699187312,0.02482009389165
Turkmenistan,0.387901728915919,0,0,0,0.000253275989901,0.337474504156849,0.244378089217029,0.029992401720303
Uganda,0,0,0,0,0,0,0,0
Ukraine,0.379935554453086,0.165799388393744,0.000204494589143,0,0.049956619278143,0.238304554892139,0.165799388393744,0
United Arab Emirates,0.065759457641617,0.112921257526065,4.87509636500492E-05,0,0,0.062599344392621,0.728672652004956,0.029998537471091
United Kingdom,0.203825258498572,0.477910822195452,0.00791202301137,0,0.009511390664734,0.096021581831821,0.204818923798051,0
United States of America,0.278046502049431,0.145974413575951,0.001995405257064,0.00549240447443,0.037025928930254,0.283839137508794,0.218961620363927,0.028664587840148
Uruguay,0.37579008111966,0.096452787487379,0.002391616395626,0,0.136691817465405,0.266393413060381,0.096452787487379,0.025827496984169
Uzbekistan,0.370548024897571,0,0,0,0.044979317274302,0.322376781660886,0.233445255685469,0.028650620481771
Vanuatu,0,0,0,0,0,0,0,0
Venezuela,0.349381997452083,0.089674712679368,0.00185042409075,0,0.197732628710891,0.247673015971588,0.089674712679368,0.024012508415951
Vietnam,0.006818427004668,0.259848249977733,0.001943906209417,0,0.077888150748131,0.366047977791045,0.259848249977733,0.027605038291274
Yemen,0.164220102962926,0.096165786960303,0.005130250569112,0.03874538407635,0,0.442667908229966,0.224386836240707,0.028683730960636
Zambia,0.389867051886217,0,0,0.006757628775118,0.100076158427135,0.276372421226007,0.200131753301591,0.026794986383932
Zimbabwe,0.360046336873625,0,0,0,0.072045523521586,0.282630507129721,0.257438998180715,0.027838634294352
World,0.248665671876725,0.146325149458892,0.001432198181219,0.008988143476551,0.058710738227364,0.279001980356932,0.23295363862615,0.023922479796167
